deepcsv;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.99086) : (0.991427)) : (x<50 ? 0.991139:0.991136)) : (x<100 ? (x<80 ? (x<70 ? 0.99066:0.991184) : (0.98997)) : (x<120 ? 0.99137:0.992062))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.993635:0.992861) : (0.990628)) : (x<400 ? 0.992542:0.994722)) : (x<800 ? (x<670 ? 0.998027:0.984945) : (x<1000 ? 0.997172:0)))" 
0, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.06833) : (1.0588)) : (x<50 ? 1.04926:1.04686)) : (x<100 ? (x<80 ? (x<70 ? 1.03265:1.03842) : (1.02776)) : (x<120 ? 1.02254:1.01712))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.01604:1.05128) : (1.02004)) : (x<400 ? 1.05468:1.04773)) : (x<800 ? (x<670 ? 1.12354:1.16504) : (x<1000 ? 1.17:0)))" 
0, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.2393) : (1.29757)) : (x<50 ? 1.35578:1.39983)) : (x<100 ? (x<80 ? (x<70 ? 1.39145:1.39296) : (1.40628)) : (x<120 ? 1.38392:1.44435))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.52632:1.63023) : (1.71917)) : (x<400 ? 1.87286:1.88172)) : (x<800 ? (x<670 ? 2.13977:2.1074) : (x<1000 ? 2.41582:0)))" 
0, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971817) : (0.977873)) : (x<50 ? 0.979801:0.980573)) : (x<100 ? (x<80 ? (x<70 ? 0.980726:0.981444) : (0.980827)) : (x<120 ? 0.982225:0.982961))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983695:0.981088) : (0.977822)) : (x<400 ? 0.976723:0.974605)) : (x<800 ? (x<670 ? 0.972147:0.937958) : (x<1000 ? 0.932194:0)))" 
0, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.95315) : (0.951247)) : (x<50 ? 0.945953:0.940086)) : (x<100 ? (x<80 ? (x<70 ? 0.934736:0.941904) : (0.931109)) : (x<120 ? 0.938488:0.931989))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.935632:0.955307) : (0.925598)) : (x<400 ? 0.954666:0.9411)) : (x<800 ? (x<670 ? 1.00307:0.973135) : (x<1000 ? 0.928234:0)))" 
0, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.00756) : (1.04771)) : (x<50 ? 1.08363:1.11548)) : (x<100 ? (x<80 ? (x<70 ? 1.11264:1.11722) : (1.13435)) : (x<120 ? 1.11618:1.16165))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.22949:1.30653) : (1.35441)) : (x<400 ? 1.48134:1.51379)) : (x<800 ? (x<670 ? 1.64607:1.62807) : (x<1000 ? 1.7472:0)))" 
0, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0099) : (1.00498)) : (x<50 ? 1.00248:1.0017)) : (x<100 ? (x<80 ? (x<70 ? 1.00059:1.00092) : (0.999112)) : (x<120 ? 1.00052:1.00116))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.00357:1.00463) : (1.00343)) : (x<400 ? 1.00836:1.01484)) : (x<800 ? (x<670 ? 1.02391:1.03193) : (x<1000 ? 1.06215:0)))" 
0, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.18351) : (1.16636)) : (x<50 ? 1.15256:1.15364)) : (x<100 ? (x<80 ? (x<70 ? 1.13057:1.13493) : (1.1244)) : (x<120 ? 1.10659:1.10226))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.09645:1.14725) : (1.11448)) : (x<400 ? 1.15469:1.15436)) : (x<800 ? (x<670 ? 1.24401:1.35694) : (x<1000 ? 1.41177:0)))" 
0, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.47103) : (1.54744)) : (x<50 ? 1.62794:1.68418)) : (x<100 ? (x<80 ? (x<70 ? 1.67027:1.6687) : (1.67821)) : (x<120 ? 1.65166:1.72704))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.82315:1.95393) : (2.08393)) : (x<400 ? 2.26438:2.24966)) : (x<800 ? (x<670 ? 2.63346:2.58673) : (x<1000 ? 3.08444:0)))" 
1, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.967887) : (0.97819)) : (x<50 ? 0.979651:0.98036)) : (x<100 ? (x<80 ? (x<70 ? 0.979465:0.979746) : (0.976342)) : (x<120 ? 0.977317:0.978977))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.983449:0.985013) : (0.984998)) : (x<400 ? 0.983059:0.984151)) : (x<800 ? (x<670 ? 0.994055:0.975728) : (x<1000 ? 1.01662:0)))" 
1, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.02521) : (1.05)) : (x<50 ? 1.04674:1.02032)) : (x<100 ? (x<80 ? (x<70 ? 1.01226:1.0157) : (1.00596)) : (x<120 ? 1.02553:1.02202))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.02621:1.06416) : (1.01468)) : (x<400 ? 1.03602:1.0134)) : (x<800 ? (x<670 ? 1.11239:1.19818) : (x<1000 ? 1.15766:0)))" 
1, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.22299) : (1.28233)) : (x<50 ? 1.32389:1.33939)) : (x<100 ? (x<80 ? (x<70 ? 1.30525:1.34668) : (1.41855)) : (x<120 ? 1.46079:1.65114))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.78812:1.94415) : (2.08752)) : (x<400 ? 2.21278:2.44641)) : (x<800 ? (x<670 ? 2.9812:2.56192) : (x<1000 ? 2.0358:0)))" 
1, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.933177) : (0.950453)) : (x<50 ? 0.954698:0.957158)) : (x<100 ? (x<80 ? (x<70 ? 0.95691:0.95671) : (0.954559)) : (x<120 ? 0.955041:0.955825))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.956699:0.953311) : (0.948245)) : (x<400 ? 0.94311:0.943805)) : (x<800 ? (x<670 ? 0.943067:0.911556) : (x<1000 ? 0.925981:0)))" 
1, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.85763) : (0.876048)) : (x<50 ? 0.876976:0.853187)) : (x<100 ? (x<80 ? (x<70 ? 0.831454:0.842887) : (0.836356)) : (x<120 ? 0.845283:0.849593))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.845833:0.882832) : (0.836807)) : (x<400 ? 0.844029:0.819386)) : (x<800 ? (x<670 ? 0.924897:0.881632) : (x<1000 ? 0.800277:0)))" 
1, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.971615) : (1.00366)) : (x<50 ? 1.00785:0.999408)) : (x<100 ? (x<80 ? (x<70 ? 0.990917:1.01414) : (1.05303)) : (x<120 ? 1.05045:1.15994))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.25805:1.33379) : (1.40702)) : (x<400 ? 1.55298:1.56488)) : (x<800 ? (x<670 ? 1.80772:1.83762) : (x<1000 ? 1.07726:0)))" 
1, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.0026) : (1.00593)) : (x<50 ? 1.0046:1.00356)) : (x<100 ? (x<80 ? (x<70 ? 1.00202:1.00278) : (0.998124)) : (x<120 ? 0.999593:1.00213))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.0102:1.01671) : (1.02175)) : (x<400 ? 1.02301:1.0245)) : (x<800 ? (x<670 ? 1.04504:1.0399) : (x<1000 ? 1.10727:0)))" 
1, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.19279) : (1.22395)) : (x<50 ? 1.2165:1.18745)) : (x<100 ? (x<80 ? (x<70 ? 1.19307:1.18851) : (1.17556)) : (x<120 ? 1.20577:1.19445))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.20658:1.24548) : (1.19254)) : (x<400 ? 1.22801:1.20741)) : (x<800 ? (x<670 ? 1.29989:1.51472) : (x<1000 ? 1.51505:0)))" 
1, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.47436) : (1.56099)) : (x<50 ? 1.63993:1.67937)) : (x<100 ? (x<80 ? (x<70 ? 1.61959:1.67923) : (1.78407)) : (x<120 ? 1.87113:2.14234))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.31819:2.55452) : (2.76802)) : (x<400 ? 2.87259:3.32795)) : (x<800 ? (x<670 ? 4.15468:3.28621) : (x<1000 ? 2.99434:0)))" 
2, fastsim, central, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.956742) : (0.965013)) : (x<50 ? 0.965369:0.96464)) : (x<100 ? (x<80 ? (x<70 ? 0.961359:0.961023) : (0.956144)) : (x<120 ? 0.954608:0.955643))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.958418:0.956047) : (0.957208)) : (x<400 ? 0.960877:0.960217)) : (x<800 ? (x<670 ? 0.974839:0.933911) : (x<1000 ? 0.952273:0)))" 
2, fastsim, central, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.04077) : (1.06779)) : (x<50 ? 1.02298:1.02699)) : (x<100 ? (x<80 ? (x<70 ? 0.989936:0.97303) : (0.966682)) : (x<120 ? 0.95284:0.926497))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.960065:0.931205) : (0.912073)) : (x<400 ? 0.991293:0.91814)) : (x<800 ? (x<670 ? 1.00164:0.716969) : (x<1000 ? 0.807372:0)))" 
2, fastsim, central, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.23861) : (1.26578)) : (x<50 ? 1.32359:1.29857)) : (x<100 ? (x<80 ? (x<70 ? 1.24523:1.2272) : (1.27116)) : (x<120 ? 1.32564:1.40629))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.63199:1.8075) : (1.89362)) : (x<400 ? 2.59045:1.71722)) : (x<800 ? (x<670 ? 2.00501:0) : (x<1000 ? 2.55524:0)))" 
2, fastsim, down, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.90201) : (0.923584)) : (x<50 ? 0.929584:0.930866)) : (x<100 ? (x<80 ? (x<70 ? 0.9293:0.928769) : (0.924908)) : (x<120 ? 0.922896:0.922839))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.9224:0.917053) : (0.914102)) : (x<400 ? 0.912125:0.908666)) : (x<800 ? (x<670 ? 0.9103:0.860471) : (x<1000 ? 0.860693:0)))" 
2, fastsim, down, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.823673) : (0.834553)) : (x<50 ? 0.801568:0.801429)) : (x<100 ? (x<80 ? (x<70 ? 0.781026:0.773367) : (0.759166)) : (x<120 ? 0.752132:0.733211))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.754732:0.743557) : (0.742916)) : (x<400 ? 0.779591:0.694895)) : (x<800 ? (x<670 ? 0.734603:0.520946) : (x<1000 ? 0.420047:0)))" 
2, fastsim, down, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:0.820992) : (0.858622)) : (x<50 ? 0.905841:0.912587)) : (x<100 ? (x<80 ? (x<70 ? 0.869924:0.862872) : (0.92232)) : (x<120 ? 0.9711:0.992413))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.14651:1.20725) : (1.29978)) : (x<400 ? 1.70071:0.995066)) : (x<800 ? (x<670 ? 1.26102:0) : (x<1000 ? -0.11524:0)))" 
2, fastsim, up, 0, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.01147) : (1.00644)) : (x<50 ? 1.00115:0.998414)) : (x<100 ? (x<80 ? (x<70 ? 0.993417:0.993278) : (0.987381)) : (x<120 ? 0.986321:0.988446))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 0.994435:0.99504) : (1.00031)) : (x<400 ? 1.00963:1.01177)) : (x<800 ? (x<670 ? 1.03938:1.00735) : (x<1000 ? 1.04385:0)))" 
2, fastsim, up, 1, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.25786) : (1.30103)) : (x<50 ? 1.24439:1.25254)) : (x<100 ? (x<80 ? (x<70 ? 1.19885:1.17269) : (1.1742)) : (x<120 ? 1.15355:1.11978))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 1.1654:1.11885) : (1.08123)) : (x<400 ? 1.20299:1.14138)) : (x<800 ? (x<670 ? 1.26868:0.912993) : (x<1000 ? 1.1947:0)))" 
2, fastsim, up, 2, -2.4, 2.4, 20, 1000, 0, 1, "x<160 ? (x<60 ? (x<40 ? (x<30 ? (x<20 ? 0:1.65623) : (1.67293)) : (x<50 ? 1.74134:1.68455)) : (x<100 ? (x<80 ? (x<70 ? 1.62054:1.59153) : (1.62)) : (x<120 ? 1.68018:1.82017))) : (x<500 ? (x<320 ? (x<260 ? (x<210 ? 2.11748:2.40774) : (2.48746)) : (x<400 ? 3.4802:2.43936)) : (x<800 ? (x<670 ? 2.74899:0) : (x<1000 ? 5.22572:0)))" 
